127.0.0.1 - - [14/Dec/2021:14:12:17 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Dec/2021:17:14:54 +0900] "GET /JspStudy/js1/test16.html HTTP/1.1" 200 1675
0:0:0:0:0:0:0:1 - - [14/Dec/2021:17:16:43 +0900] "GET /JspStudy/js1/test16.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2021:17:17:18 +0900] "GET /JspStudy/js1/test16.html HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [14/Dec/2021:17:17:58 +0900] "GET /JspStudy/js1/test16.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2021:17:18:01 +0900] "GET /JspStudy/js1/test16.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2021:17:18:14 +0900] "GET /JspStudy/js1/test16.html HTTP/1.1" 200 1749
0:0:0:0:0:0:0:1 - - [14/Dec/2021:17:18:35 +0900] "GET /JspStudy/js1/test16.html HTTP/1.1" 200 1755
0:0:0:0:0:0:0:1 - - [14/Dec/2021:17:19:29 +0900] "GET /JspStudy/js1/test16.html HTTP/1.1" 200 1783
0:0:0:0:0:0:0:1 - - [14/Dec/2021:17:24:38 +0900] "GET /JspStudy/js1/test16.html HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [14/Dec/2021:17:24:44 +0900] "GET /JspStudy/js1/a.jsp?sel=100 HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [14/Dec/2021:17:32:39 +0900] "GET /JspStudy/js1/test16.html HTTP/1.1" 200 2273
0:0:0:0:0:0:0:1 - - [14/Dec/2021:17:32:52 +0900] "GET /JspStudy/js1/test16.html HTTP/1.1" 200 2273
0:0:0:0:0:0:0:1 - - [14/Dec/2021:17:33:06 +0900] "GET /JspStudy/js1/a.jsp?sel=100 HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [14/Dec/2021:17:37:22 +0900] "GET /JspStudy/js1/test16.html HTTP/1.1" 200 2268
